Subject,Gender,Condition,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
LR,F,长,2.3031482012407185,0.46523498092947563,0.2019995850370597,0.1567386339269916,4.950505219189117,-2.4379025731859647,0.7577833620348903
LR,F,短,3.561229901809049,0.6340914654567704,0.17805406641527463,-0.09785512775899674,5.61627161981072,1.5220323272322291,0.8596935063646731
XJC,M,漫,2.0717590177219867,0.46282955585270674,0.22339932004331922,0.10466301525483068,4.4762893629492275,-0.8563596200988144,0.8513871305319056
XJC,M,长,4.154927370426874,0.6207294156430865,0.1493959726134306,0.593261238417286,6.693620868800453,-4.854102163150995,1.2731220442375004
XJC,M,短,5.6567804841674025,0.9888536238048014,0.17480855525019484,2.4055290652096843,5.720543817599484,-19.6821957728238,1.0880434643615555
XBN,M,漫,4.246217680437883,0.7632643880798591,0.17975159201003302,0.24582892856498617,5.563233064128767,-0.384701978598858,0.2592497995926622
XBN,M,长,6.827103382872596,0.8509042422760451,0.12463620287496154,0.32705821086384734,8.023350976146373,-0.5118190994477017,0.3738926823036643
XBN,M,短,5.338743540612313,0.7550188361580679,0.14142257076305878,-0.10998110289664265,7.071007086099524,0.17211134645464707,0.3295129197102366
LLX,F,漫,6.1985663735594905,0.6322842568497347,0.10200491835447575,-1.8384355531731398,9.803448854543612,18.214541819243536,1.3799300587923264
LLX,F,长,3.6172227821902205,0.5156410079752556,0.1425516311890074,-0.38958605642954414,7.01500215507259,3.859875046901797,0.9874292690159873
LLX,F,短,6.084185967573584,0.6194238682839378,0.10180883220618722,-1.6238885240225374,9.822330522117776,16.0888889357834,1.3825878357677872
CDQ,F,漫,7.673472029347258,1.8563155839071122,0.2419133837730323,0.1711047514355588,4.1337109357216,-0.2320821543215115,0.8120551125947962
CDQ,F,短,28.02690799047075,8.714516549036595,0.3109339264966211,2.034866711361012,3.216117363799048,-2.7600417064259806,0.6317966080814043
CDQ,F,长,19.9016402409538,9.298774296969011,0.4672365787134418,0.6394226124778619,2.140243391802816,-0.8672966482853097,0.4204443937992271
LZX,F,短,3.337368284957666,0.4904200328719628,0.146948131281287,0.6858861230740914,6.8051222651195715,0.9535147725350825,0.22693152495092467
LZX,F,长,2.4755762452385595,0.42789178906126424,0.17284532838940306,1.5499224171290917,5.785519396550313,2.154692843751013,0.19293066136692652
LZX,F,漫,4.675154357970028,0.5962499130826107,0.12753587741250644,0.2365124983282989,7.840930883829384,0.3287982559472936,0.26147280433482983
HX,M,长,3.022652794922008,0.6609441310296531,0.21866359647394007,-0.4329740103676647,4.5732349422834915,0.5538261813640389,0.6121019733731207
HX,M,短,3.822477545268453,0.6053709288508683,0.1583713499115802,-0.6975571456329948,6.3142733869371375,0.8922600456343043,0.8451302522917732
HX,M,漫,3.4673240558339176,0.6748635364741924,0.19463526500752254,-0.8721560888994238,5.137815081770257,1.1155932335485883,0.6876678740689127
JF,M,长,3.485415097033718,0.7718820665140214,0.22146058504507424,0.016155756101231766,4.515476195443394,0.03577686728930156,0.22454907685986586
JF,M,短,3.4874422093615074,0.6962689963219187,0.19965033239916943,-0.7573598483429045,5.008757000217046,-1.6771708247281454,0.2490793245126804
JF,M,漫,2.605592707920965,0.5692128329142166,0.21845810021797255,-0.398390254248679,4.577536832015945,-0.8822338717108629,0.2276352759778602
LJC,F,漫,4.158417007175455,0.5751845052365069,0.13831813987005423,1.088462736168423,7.229709718041828,-2.5159294665412966,0.45631048811566105
LJC,F,长,3.9581997672565663,0.6193695111791886,0.1564775775853462,1.7121274229995462,6.390691979204361,-3.9575005104551773,0.40335502947653895
LJC,F,短,5.477526322165142,0.6472967811308361,0.11817319407695231,1.6048966363924073,8.462155972096493,-3.709641684626199,0.5340975879712169
LXY,F,短,3.367034615332958,0.6677048187758859,0.19830649074270307,1.6111706284068599,5.042699289643883,13.574125326928336,0.13370983648118429
LXY,F,漫,5.256583217946224,0.6847886718909891,0.13027258268319394,2.233512887466003,7.676212288136411,18.817363797000077,0.20353882531711714
LXY,F,长,3.797232893913145,0.6856956885118138,0.18057772795842053,3.720841102354362,5.537781493353698,31.34811580750217,0.14683720273892095
MPX,M,短,5.365494174776084,0.5108568770565309,0.09521152393718707,-1.1675040416925935,10.502930303475868,2.4752766128283348,1.5176611527298847
MPX,M,漫,3.670005976676641,0.4172536169403924,0.11369289848356998,-0.6696051755554069,8.795624118462529,1.4196593516526108,1.2709574045432765
MPX,M,长,2.3691947570755723,0.6048092086799621,0.255280494300313,0.33439303977849644,3.917259729306211,-0.7089613751197845,0.5660394522806403
QJY,F,长,2.7383849774094013,0.5879101496154508,0.2146922928899619,0.6170630924489036,4.65782905636272,-0.43630463383747276,0.18707674921241038
QJY,F,短,3.8614812416486384,0.6928393702383233,0.17942321272096076,-0.41906172419487087,5.573414859955727,0.29630450170747047,0.2238502790454197
QJY,F,漫,3.570318948730243,0.6477914458656839,0.1814379765975995,-0.4834964369264023,5.5115253088268314,0.3418641277631829,0.22136455106027758
QWJ,F,短,2.8300434665151863,0.37318782514288756,0.13186646408735822,-0.01525010530249915,7.583429243522638,0.03287903744454107,0.6143137336522447
